ms,x,y
14807,039,1799,158
14817,384,1796,158
14827,282,1792,158
14837,683,1789,159
14847,052,1785,159
14857,102,1778,160
14867,178,1770,161
14877,861,1759,164
14887,114,1747,166
14897,180,1731,171
14907,551,1711,178
14917,568,1685,189
14927,149,1653,205
14937,130,1613,228
14947,381,1569,258
14957,479,1528,287
14967,286,1487,317
14977,306,1448,349
14987,273,1410,378
14997,560,1379,403
15007,341,1347,428
15017,238,1322,449
15027,168,1294,469
15037,754,1270,486
15047,404,1250,499
15057,258,1232,512
15067,634,1215,523
15077,617,1199,532
15087,211,1187,540
15098,117,1176,545
15107,370,1165,551
15117,595,1155,555
15127,304,1148,558
15137,396,1140,561
15147,254,1133,563
15157,934,1128,565
15167,370,1124,566
15177,120,1120,568
15187,393,1117,569
15197,817,1113,570
15207,253,1111,571
15217,096,1109,573
15227,441,1108,574
15237,407,1107,575
15247,328,1105,576
15257,577,1105,577
15268,655,1104,578
15277,524,1103,580
15287,297,1102,581
15297,434,1101,582
15307,213,1099,583
15317,496,1097,584
15327,584,1096,586
15337,277,1094,587
15347,399,1091,587
15357,452,1088,588
15367,338,1086,588
15377,596,1083,588
15387,206,1080,588
15397,390,1077,588
15409,029,1075,588
15417,301,1072,588
15427,468,1071,588
15438,185,1070,588
15447,313,1069,587
15457,346,1068,587
15467,629,1067,586
15477,941,1066,586
15497,403,1064,586
15507,440,1064,585
15517,378,1063,585
15527,678,1062,584
15537,985,1061,584
15557,973,1060,584
15567,726,1059,584
15587,642,1058,583
15597,964,1057,583
15607,555,1056,583
15647,721,1055,583
15678,307,1054,583
15767,990,1053,583
15847,637,1052,583
15918,252,1051,583
16018,860,1050,583
16098,084,1049,583
16278,686,1048,583
16558,549,1047,583
16758,681,1046,583
17108,670,1045,583
17398,555,1045,582
17419,599,1045,581
17428,242,1046,580
17438,624,1046,578
17448,182,1047,576
17458,176,1048,572
17468,378,1048,568
17478,496,1049,563
17488,361,1050,558
17498,084,1050,551
17508,343,1051,545
17518,388,1051,540
17528,668,1052,535
17538,496,1052,532
17548,154,1052,529
17558,411,1052,528
17568,456,1052,527
17578,116,1051,527
17588,077,1050,527
17598,455,1048,527
17608,131,1041,530
17618,127,1024,534
17628,345,983,544
17638,989,918,564
17648,130,849,597
17658,437,777,650
17668,579,708,711
17678,334,654,773
17688,375,605,820
17698,190,566,854
17708,280,529,878
17718,433,499,896
17728,147,466,913
17738,484,438,924
17748,037,410,933
17758,490,382,943
17768,124,359,948
17778,597,335,954
17788,539,318,959
17798,251,299,963
17808,384,284,966
17818,580,267,970
17828,215,252,974
17838,379,238,978
17848,407,224,981
17858,192,212,984
17868,255,202,988
17878,983,190,990
17888,216,180,993
17898,235,169,995
17908,711,161,997
17918,673,152,998
17928,372,143,999
17938,794,135,1000
17948,203,128,1002
17958,793,121,1002
17968,424,114,1002
17978,774,109,1001
17988,329,103,1000
17998,599,100,999
18008,557,96,998
18018,278,93,998
18028,239,91,997
18038,777,88,995
18048,240,88,994
18058,236,86,993
18068,557,85,991
18078,461,85,989
18088,266,85,988
18098,586,85,987
18109,316,84,985
18118,599,84,984
18128,672,84,982
18138,647,84,980
18148,317,84,979
18158,813,84,977
18168,404,84,976
18178,630,84,974
18188,748,84,972
18198,853,85,971
18208,533,87,969
18219,122,88,968
18228,446,89,966
18238,901,90,966
18248,529,92,965
18258,632,94,964
18268,454,95,963
18280,205,97,962
18288,580,100,962
18298,489,101,962
18308,419,104,961
18318,837,106,961
18328,331,107,961
18338,437,108,961
18348,559,110,961
18368,544,111,961
18389,020,112,961
18488,550,112,960
18508,529,113,959
18519,060,114,958
18529,062,116,956
18538,548,119,952
18548,868,128,939
18559,046,161,904
18568,718,237,834
18578,866,330,752
18588,730,435,670
18599,210,544,587
18608,584,652,510
18619,013,763,436
18628,687,867,380
18638,947,966,333
18648,962,1068,295
18658,705,1163,259
18668,642,1258,232
18679,345,1345,208
18688,709,1426,188
18699,824,1507,167
18708,692,1574,149
