ms,x,y
20784,986,687,309
20794,386,681,308
20804,406,677,307
20814,601,673,305
20824,957,669,304
20834,250,667,303
20844,654,665,302
20855,076,662,301
20864,702,660,299
20874,872,658,296
20884,321,657,294
20894,511,655,293
20904,584,654,290
20914,550,653,287
20924,622,651,285
20934,679,650,283
20944,921,649,280
20954,636,649,278
20964,632,648,275
20974,452,647,274
20984,944,646,271
20995,239,645,268
21004,655,644,267
21014,501,643,265
21025,024,641,263
21034,742,641,261
21044,688,640,260
21054,430,639,259
21065,254,638,257
21084,401,637,256
21094,493,636,255
21104,878,635,254
21114,572,635,253
21124,896,635,252
21144,978,635,251
21164,929,635,250
21174,672,634,249
21215,000,634,248
21285,296,633,248
21614,930,633,249
21665,168,633,250
21685,289,634,251
21724,975,634,252
21735,359,635,253
21755,441,636,255
21765,256,637,256
21775,638,637,257
21787,436,638,259
21795,564,639,262
21804,689,641,264
21815,715,643,267
21825,231,646,271
21835,236,649,276
21845,230,652,279
21854,705,657,283
21864,861,661,286
21874,887,667,290
21884,780,673,293
21894,718,680,297
21905,381,687,299
21914,851,694,302
21925,088,702,304
21935,047,709,305
21944,892,717,307
21954,704,724,308
21965,161,731,309
21975,127,738,309
21985,325,745,310
21995,246,750,310
22004,871,755,310
22015,034,761,310
22025,441,764,310
22036,658,768,310
22044,908,772,310
22054,944,776,309
22065,116,778,309
22075,087,781,308
22084,980,783,307
22095,212,786,307
22105,263,787,307
22115,408,789,306
22125,074,791,304
22134,899,792,303
22145,150,793,301
22155,317,795,300
22164,959,796,298
22174,931,797,296
22185,328,798,294
22194,982,798,292
22204,918,798,288
22215,178,799,285
22225,295,800,281
22235,581,800,279
22245,183,801,276
22254,771,801,272
22265,115,801,270
22275,051,802,267
22285,116,802,264
22295,116,802,263
22305,401,802,261
22315,164,802,259
22324,982,802,258
22335,090,802,257
22347,631,802,256
22364,957,802,255
22375,139,802,254
22395,005,802,253
22414,908,802,252
22444,980,802,251
22505,091,801,251
22565,619,801,252
22616,538,801,253
22666,175,800,253
22805,781,800,254
22895,420,800,255
23015,474,800,256
23045,653,800,257
23065,463,799,257
23096,769,799,258
23105,735,799,259
23115,466,798,260
23136,564,798,261
23145,586,798,263
23155,318,797,264
23165,431,797,266
23176,355,796,268
23185,999,796,270
23195,633,796,272
23206,684,795,275
23215,362,794,276
23225,806,793,279
23236,713,792,281
23245,558,791,284
23255,484,789,285
23267,005,787,287
23275,474,785,289
23285,963,781,291
23296,278,777,292
23305,679,773,294
23315,641,767,295
23325,794,760,296
23335,526,752,298
23345,435,745,299
23355,713,736,299
23365,521,728,300
23376,706,719,300
23386,009,711,300
23395,568,703,300
23406,199,696,300
23416,175,689,300
23425,741,682,299
23435,555,676,298
23445,655,671,296
23455,425,667,295
23465,767,663,294
23475,605,659,294
23486,482,657,292
23496,290,653,291
23505,664,650,289
23515,857,647,287
23525,537,644,286
23535,687,642,284
23545,808,639,281
23555,470,636,279
23565,935,633,278
23575,890,630,276
23585,781,628,274
23596,436,627,272
23605,557,625,269
23615,464,623,268
23625,893,622,267
23635,851,622,265
23645,633,621,264
23655,636,621,262
23666,204,620,261
23675,527,620,260
23685,706,620,259
23695,857,620,258
23715,758,620,257
23725,605,621,256
23735,893,621,255
23746,146,622,255
23766,022,623,254
23786,021,623,253
23835,857,624,253
24276,405,624,254
24346,217,624,255
24366,026,625,256
24386,089,625,257
24405,839,625,258
24415,768,626,259
24435,863,627,261
24445,912,628,263
24456,180,629,264
24466,280,629,266
24476,327,630,268
24486,315,630,269
24495,916,631,272
24506,155,633,274
24516,227,634,277
24526,045,635,279
24536,193,637,282
24546,251,638,285
24556,149,640,288
24566,041,641,291
24576,185,643,293
24586,104,646,296
24596,109,650,300
24606,022,653,301
24616,020,659,303
24626,228,664,306
24636,104,671,308
24646,121,680,309
24655,947,689,311
